issue_id,project,worklog_id,person,component,component_description,time_spent,date,time
19,CIT - Global Infrastructure,28340,awestfall,functional,type of work,5,2/10/17,8:29:00
19,CIT - Global Infrastructure,28340,awestfall,key_result,tickets that relate to a specific personal key result,5,2/10/17,8:29:00
19,CIT - Global Infrastructure,28340,awestfall,puppet,tool/service,5,2/10/17,8:29:00
19,CIT - Global Infrastructure,28627,awestfall,functional,type of work,8,3/3/17,3:54:00
19,CIT - Global Infrastructure,28627,awestfall,key_result,tickets that relate to a specific personal key result,8,3/3/17,3:54:00
19,CIT - Global Infrastructure,28627,awestfall,puppet,tool/service,8,3/3/17,3:54:00
19,CIT - Global Infrastructure,28890,awestfall,functional,type of work,12,3/13/17,5:44:00
19,CIT - Global Infrastructure,28890,awestfall,key_result,tickets that relate to a specific personal key result,12,3/13/17,5:44:00
19,CIT - Global Infrastructure,28890,awestfall,puppet,tool/service,12,3/13/17,5:44:00
19,CIT - Global Infrastructure,29006,awestfall,functional,type of work,3,3/20/17,7:35:00
19,CIT - Global Infrastructure,29006,awestfall,key_result,tickets that relate to a specific personal key result,3,3/20/17,7:35:00
19,CIT - Global Infrastructure,29006,awestfall,puppet,tool/service,3,3/20/17,7:35:00
19,CIT - Global Infrastructure,29007,awestfall,functional,type of work,3,3/20/17,7:36:00
19,CIT - Global Infrastructure,29007,awestfall,key_result,tickets that relate to a specific personal key result,3,3/20/17,7:36:00
19,CIT - Global Infrastructure,29007,awestfall,puppet,tool/service,3,3/20/17,7:36:00
23,CIT - FS,28811,mpuello,functional,type of work,0.25,3/7/17,10:13:00
23,CIT - FS,28811,mpuello,sql,tool/service,0.25,3/7/17,10:13:00
23,CIT - FS,28811,mpuello,sun_systems,tool/service,0.25,3/7/17,10:13:00
23,CIT - FS,28811,mpuello,user_management,"theme; any work done to update, delete, or change users of a system in any way",0.25,3/7/17,10:13:00
24,CIT - FS,28072,jevans,break/fix,type of work,1,1/19/17,4:41:00
24,CIT - FS,28072,jevans,sun_systems,tool/service,1,1/19/17,4:41:00
25,CIT - FS,28163,mpuello,functional,type of work,0.166666667,1/26/17,4:24:00
25,CIT - FS,28163,mpuello,sun_netting,tool/service,0.166666667,1/26/17,4:24:00
25,CIT - FS,28163,mpuello,user_management,"theme; any work done to update, delete, or change users of a system in any way",0.166666667,1/26/17,4:24:00
26,CIT - FS,28534,jhoule,break/fix,type of work,0.333333333,2/22/17,6:14:00
26,CIT - FS,28534,jhoule,svb,tool/service,0.333333333,2/22/17,6:14:00
27,CIT - FS,28614,jevans,functional,type of work,0.25,3/2/17,6:43:00
27,CIT - FS,28614,jevans,sun_atlas,tool/service,0.25,3/2/17,6:43:00
29,CIT - FS,28541,jevans,functional,type of work,0.25,2/23/17,2:35:00
29,CIT - FS,28541,jevans,sun_netting,tool/service,0.25,2/23/17,2:35:00
30,CIT - FS,28527,jhoule,functional,type of work,0.166666667,2/22/17,1:41:00
30,CIT - FS,28527,jhoule,sun_systems,tool/service,0.166666667,2/22/17,1:41:00
30,CIT - FS,28527,jhoule,user_management,"theme; any work done to update, delete, or change users of a system in any way",0.166666667,2/22/17,1:41:00
31,CIT - FS,28524,jhoule,break/fix,type of work,0.5,2/21/17,9:12:00
31,CIT - FS,28524,jhoule,sun_systems,tool/service,0.5,2/21/17,9:12:00
32,CIT - FS,28299,jevans,functional,type of work,0.25,2/7/17,2:11:00
32,CIT - FS,28299,jevans,sun_systems,tool/service,0.25,2/7/17,2:11:00
33,CIT - DevOps,30273,sblack,automation,"theme; anything automation related. System, configuration, network management, etc. should usually have another component as well for the specific tool/service that's being worked on.",0.25,5/30/17,7:41:00
33,CIT - DevOps,30273,sblack,console,tool/service,0.25,5/30/17,7:41:00
33,CIT - DevOps,30273,sblack,functional,type of work,0.25,5/30/17,7:41:00
33,CIT - DevOps,30273,sblack,user_management,"theme; any work done to update, delete, or change users of a system in any way",0.25,5/30/17,7:41:00
33,CIT - FS,28067,jevans,functional,type of work,0.25,1/19/17,3:37:00
33,CIT - FS,28067,jevans,sun_systems,tool/service,0.25,1/19/17,3:37:00
34,CIT - FS,28394,jhoule,break/fix,type of work,1,2/16/17,6:48:00
